"gvkey","tic","conm","allocation"
23809,"AZO","AUTOZONE INC",250000
29692,"WEBC","WEBCO INDUSTRIES INC",187500
3570,"CBRL","CRACKER BARREL OLD CTRY STOR",140625
178704,"ULTA","ULTA BEAUTY INC",105468.75
63172,"FDS","FACTSET RESEARCH SYSTEMS INC",79101.5625
65430,"PLCE","CHILDRENS PLACE INC",59326.171875
3504,"COO","COOPER COS INC (THE)",44494.62890625
125276,"CRSS","CROSSROADS SYSTEMS INC",33370.9716796875
1864,"REX","REX AMERICAN RESOURCES CORP",25028.2287597656
7921,"NDSN","NORDSON CORP",18771.1715698242
64344,"MTN","VAIL RESORTS INC",14078.3786773682
2807,"CASY","CASEYS GENERAL STORES INC",42235.1360321045
